Month,Job Title,Growth Percentage,Average Salary,Openings
November,Software Engineer,+49.72% Growth,"$145,747",2138+ openings
November,Business Analyst,+15.76% Growth,"$110,482",4804+ openings
October,Full Stack Developer,+30.01% Growth,"$101,064",1672+ openings
November,Software Engineer,+7.12% Growth,"$80,926",4398+ openings
August,UX/UI Designer,+28.56% Growth,"$115,783",2322+ openings
January,UX/UI Designer,+27.86% Growth,"$143,717",4846+ openings
March,DevOps Engineer,+34.76% Growth,"$103,216",3434+ openings
February,AI Engineer,+22.94% Growth,"$119,837",3149+ openings
January,UX/UI Designer,+42.87% Growth,"$136,002",4180+ openings
November,Software Engineer,+35.02% Growth,"$125,147",1862+ openings
April,DevOps Engineer,+36.78% Growth,"$120,149",3919+ openings
February,Cloud Engineer,+30.79% Growth,"$121,970",641+ openings
July,Cybersecurity Analyst,+19.0% Growth,"$125,448",3119+ openings
August,Software Engineer,+18.19% Growth,"$143,119",3068+ openings
August,DevOps Engineer,+42.18% Growth,"$95,593",1108+ openings
September,Full Stack Developer,+16.12% Growth,"$115,691",3184+ openings
December,Cybersecurity Analyst,+28.58% Growth,"$126,331",4707+ openings
April,Product Manager,+43.54% Growth,"$97,023",4548+ openings
December,DevOps Engineer,+37.11% Growth,"$72,797",2475+ openings
March,AI Engineer,+6.76% Growth,"$75,837",2791+ openings
August,Product Manager,+27.0% Growth,"$104,476",2510+ openings
October,Cybersecurity Analyst,+17.93% Growth,"$102,472",970+ openings
October,DevOps Engineer,+17.53% Growth,"$71,592",4892+ openings
July,Cloud Engineer,+12.63% Growth,"$83,620",2413+ openings
April,Cybersecurity Analyst,+15.9% Growth,"$131,575",4271+ openings
May,UX/UI Designer,+34.64% Growth,"$98,899",3366+ openings
September,Data Scientist,+29.4% Growth,"$143,170",3090+ openings
June,UX/UI Designer,+9.24% Growth,"$139,370",4032+ openings
November,Software Engineer,+40.75% Growth,"$131,820",2772+ openings
September,UX/UI Designer,+37.85% Growth,"$73,155",2200+ openings
March,Product Manager,+37.12% Growth,"$102,100",4684+ openings
October,Business Analyst,+31.54% Growth,"$89,400",2323+ openings
December,Cybersecurity Analyst,+21.93% Growth,"$113,079",1101+ openings
May,Data Scientist,+25.87% Growth,"$74,100",4438+ openings
October,Cybersecurity Analyst,+43.53% Growth,"$79,405",878+ openings
May,DevOps Engineer,+11.01% Growth,"$110,959",3113+ openings
August,Cybersecurity Analyst,+31.16% Growth,"$91,255",506+ openings
January,Business Analyst,+22.74% Growth,"$75,686",710+ openings
April,Cloud Engineer,+48.62% Growth,"$116,657",1502+ openings
February,Full Stack Developer,+17.47% Growth,"$145,654",678+ openings
August,Software Engineer,+12.8% Growth,"$84,031",2665+ openings
March,Business Analyst,+49.65% Growth,"$84,884",605+ openings
September,Data Scientist,+33.86% Growth,"$148,909",673+ openings
October,Cloud Engineer,+11.09% Growth,"$132,597",4485+ openings
March,Full Stack Developer,+13.23% Growth,"$124,847",3424+ openings
May,Cybersecurity Analyst,+5.78% Growth,"$137,970",2323+ openings
October,Cloud Engineer,+32.81% Growth,"$78,701",3605+ openings
May,AI Engineer,+5.41% Growth,"$125,683",2473+ openings
August,AI Engineer,+15.58% Growth,"$107,090",3346+ openings
March,Business Analyst,+30.65% Growth,"$112,933",2906+ openings
February,Software Engineer,+35.77% Growth,"$121,229",633+ openings
December,Business Analyst,+28.76% Growth,"$118,391",1729+ openings
September,Full Stack Developer,+49.01% Growth,"$130,559",2429+ openings
May,Cloud Engineer,+47.24% Growth,"$93,892",3859+ openings
August,DevOps Engineer,+45.41% Growth,"$76,514",678+ openings
March,Cloud Engineer,+12.8% Growth,"$70,880",1498+ openings
June,DevOps Engineer,+47.9% Growth,"$112,007",3860+ openings
March,UX/UI Designer,+12.92% Growth,"$115,534",2065+ openings
September,Cybersecurity Analyst,+29.04% Growth,"$139,669",1707+ openings
April,Cloud Engineer,+27.4% Growth,"$130,290",1462+ openings
April,Data Scientist,+14.21% Growth,"$104,996",3323+ openings
August,Data Scientist,+45.89% Growth,"$92,436",821+ openings
December,Data Scientist,+35.15% Growth,"$121,951",1565+ openings
December,Cloud Engineer,+25.47% Growth,"$143,284",4253+ openings
April,Full Stack Developer,+36.65% Growth,"$148,518",1946+ openings
November,Software Engineer,+36.21% Growth,"$115,630",1901+ openings
March,Full Stack Developer,+38.94% Growth,"$98,032",1671+ openings
April,UX/UI Designer,+45.65% Growth,"$107,354",573+ openings
September,AI Engineer,+22.56% Growth,"$140,847",3466+ openings
October,DevOps Engineer,+27.79% Growth,"$149,506",2928+ openings
February,Product Manager,+24.91% Growth,"$113,688",3010+ openings
May,AI Engineer,+5.99% Growth,"$133,431",2003+ openings
November,AI Engineer,+49.06% Growth,"$77,363",2786+ openings
July,Cybersecurity Analyst,+45.65% Growth,"$132,095",1524+ openings
December,AI Engineer,+38.48% Growth,"$77,596",1543+ openings
June,Cloud Engineer,+5.72% Growth,"$127,113",4154+ openings
February,Product Manager,+6.25% Growth,"$118,449",2775+ openings
August,UX/UI Designer,+28.47% Growth,"$94,287",2177+ openings
August,Full Stack Developer,+32.64% Growth,"$84,931",2309+ openings
August,Cloud Engineer,+49.72% Growth,"$79,928",3628+ openings
November,Business Analyst,+33.0% Growth,"$116,954",1186+ openings
August,Product Manager,+11.91% Growth,"$82,096",4913+ openings
October,Software Engineer,+34.51% Growth,"$124,722",2852+ openings
April,Full Stack Developer,+47.9% Growth,"$76,430",3565+ openings
August,Business Analyst,+12.36% Growth,"$108,346",4226+ openings
April,Data Scientist,+22.92% Growth,"$128,895",753+ openings
July,Cloud Engineer,+14.22% Growth,"$118,568",3928+ openings
October,Business Analyst,+31.05% Growth,"$148,441",1849+ openings
February,Software Engineer,+30.54% Growth,"$98,051",718+ openings
December,UX/UI Designer,+37.31% Growth,"$92,429",3802+ openings
July,Data Scientist,+42.12% Growth,"$122,607",1909+ openings
August,Business Analyst,+10.22% Growth,"$74,253",573+ openings
December,Cybersecurity Analyst,+47.91% Growth,"$87,145",1464+ openings
June,Business Analyst,+8.75% Growth,"$93,258",1353+ openings
August,Software Engineer,+28.41% Growth,"$141,443",2153+ openings
April,Software Engineer,+37.87% Growth,"$78,450",2565+ openings
August,Product Manager,+44.96% Growth,"$70,548",2757+ openings
February,Product Manager,+6.58% Growth,"$97,314",2856+ openings
November,DevOps Engineer,+35.59% Growth,"$141,936",2925+ openings
March,Cybersecurity Analyst,+34.89% Growth,"$103,282",1855+ openings
September,Cloud Engineer,+40.4% Growth,"$148,539",4468+ openings
June,Business Analyst,+17.79% Growth,"$114,944",1449+ openings
August,Business Analyst,+39.66% Growth,"$129,166",4307+ openings
November,UX/UI Designer,+11.7% Growth,"$149,723",4712+ openings
March,AI Engineer,+20.77% Growth,"$133,735",4920+ openings
September,AI Engineer,+33.47% Growth,"$119,227",1307+ openings
March,Software Engineer,+44.56% Growth,"$77,242",3819+ openings
December,DevOps Engineer,+49.56% Growth,"$115,443",4588+ openings
January,Data Scientist,+37.05% Growth,"$102,615",3349+ openings
February,DevOps Engineer,+7.9% Growth,"$84,398",4449+ openings
October,Product Manager,+10.97% Growth,"$148,254",3351+ openings
June,Product Manager,+36.13% Growth,"$89,334",3250+ openings
February,UX/UI Designer,+32.31% Growth,"$149,548",3015+ openings
February,Software Engineer,+41.95% Growth,"$149,296",3960+ openings
November,Cybersecurity Analyst,+12.9% Growth,"$77,050",4169+ openings
June,Cybersecurity Analyst,+31.31% Growth,"$95,263",4657+ openings
October,Software Engineer,+39.45% Growth,"$79,510",1127+ openings
